epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,194.34,0.24759,0.30249,0.20008,0.90746,1,0.93816,0.98196,0.93784,0.9964,0.88235,0.9299,0.9073,0.26646,0.72913,0.2495,0.88073,4.456e-05,4.456e-05,4.456e-05
30,200.543,0.22864,0.28496,0.18848,0.89585,1,0.93869,0.979,0.93593,0.99591,0.88235,0.93042,0.90997,0.25373,0.75547,0.25523,0.87813,4.258e-05,4.258e-05,4.258e-05
31,206.754,0.24751,0.36598,0.20689,0.89729,0.99867,0.94118,0.96797,0.91467,0.9917,0.88235,0.92157,0.89874,0.25366,0.85735,0.23382,0.87309,4.06e-05,4.06e-05,4.06e-05
32,213.333,0.26188,0.31305,0.2189,0.91071,0.9972,0.94118,0.95466,0.90434,0.98032,0.88235,0.89088,0.89088,0.26912,1.00862,0.26423,0.88456,3.862e-05,3.862e-05,3.862e-05
33,219.498,0.24955,0.28005,0.20157,0.90135,0.99701,0.94118,0.95434,0.92695,0.94097,0.93781,0.95081,0.89699,0.27784,1.03988,0.27671,0.89305,3.664e-05,3.664e-05,3.664e-05
34,225.601,0.25037,0.28589,0.20344,0.886,0.99848,0.94118,0.95681,0.91905,0.94095,0.9376,0.94459,0.89674,0.28895,0.91223,0.27809,0.88337,3.466e-05,3.466e-05,3.466e-05
35,231.834,0.23412,0.28666,0.17786,0.88849,1,0.93819,0.95191,0.92413,0.99618,0.88235,0.94524,0.89651,0.28401,0.84106,0.3104,0.88487,3.268e-05,3.268e-05,3.268e-05
36,237.989,0.25415,0.29273,0.19781,0.90603,0.99638,0.88235,0.91841,0.90305,0.99638,0.88235,0.90952,0.89271,0.28587,0.75976,0.37002,0.89802,3.07e-05,3.07e-05,3.07e-05
37,244.2,0.246,0.26841,0.19984,0.90124,0.99555,0.88235,0.91153,0.89763,0.99555,0.88235,0.89615,0.89197,0.2709,0.74236,0.37974,0.88944,2.872e-05,2.872e-05,2.872e-05
38,250.477,0.2157,0.2408,0.17133,0.89099,0.99447,0.88235,0.90881,0.89686,0.99447,0.88235,0.8958,0.892,0.27437,0.74815,0.39419,0.88586,2.674e-05,2.674e-05,2.674e-05
39,256.842,0.2432,0.29466,0.20295,0.90183,0.99394,0.88235,0.91643,0.9025,0.99394,0.88235,0.90169,0.89433,0.29547,0.75993,0.42351,0.89193,2.476e-05,2.476e-05,2.476e-05
40,263.097,0.24108,0.29834,0.19424,0.89993,0.9948,0.88235,0.93002,0.9046,0.9948,0.88235,0.90353,0.89478,0.30852,0.78054,0.37348,0.90087,2.278e-05,2.278e-05,2.278e-05
41,270.945,0.17442,0.1825,0.2005,0.86025,0.99505,0.88235,0.92929,0.90375,0.99505,0.88235,0.907,0.89443,0.29182,0.77773,0.36827,0.89195,2.08e-05,2.08e-05,2.08e-05
42,277.231,0.14705,0.19698,0.17736,0.84756,0.99577,0.88235,0.92804,0.89506,0.99577,0.88235,0.90421,0.89699,0.26337,0.76429,0.34256,0.87872,1.882e-05,1.882e-05,1.882e-05
43,283.902,0.17134,0.22183,0.16984,0.86085,1,0.93795,0.95849,0.89667,0.99649,0.88235,0.90361,0.89895,0.28549,0.82763,0.31623,0.8947,1.684e-05,1.684e-05,1.684e-05
44,290.13,0.13729,0.193,0.13494,0.84648,1,0.93817,0.96074,0.89929,0.99662,0.88235,0.90698,0.90166,0.28044,0.83376,0.31098,0.89406,1.486e-05,1.486e-05,1.486e-05
45,296.389,0.13892,0.1857,0.12329,0.85324,1,0.93843,0.95059,0.90091,0.99653,0.88235,0.9087,0.90383,0.29546,0.84809,0.32178,0.90933,1.288e-05,1.288e-05,1.288e-05
46,302.649,0.13344,0.17923,0.12613,0.81677,1,0.9385,0.95169,0.90408,0.99645,0.88235,0.8988,0.8988,0.30539,0.81869,0.31914,0.92439,1.09e-05,1.09e-05,1.09e-05
47,308.894,0.14073,0.18902,0.12386,0.8346,1,0.93859,0.9527,0.91124,0.99636,0.88235,0.90088,0.90088,0.30326,0.8364,0.29972,0.92148,8.92e-06,8.92e-06,8.92e-06
48,315.143,0.14067,0.17841,0.13285,0.82725,1,0.93851,0.95333,0.9124,0.99642,0.88235,0.90217,0.90217,0.28442,0.84929,0.27732,0.90736,6.94e-06,6.94e-06,6.94e-06
49,321.374,0.13865,0.17608,0.12265,0.85392,1,0.93845,0.95449,0.90956,0.99636,0.88235,0.90457,0.90457,0.27946,0.79849,0.2644,0.90228,4.96e-06,4.96e-06,4.96e-06
50,327.74,0.14237,0.17759,0.12196,0.82974,1,0.93837,0.95449,0.90956,0.99645,0.88235,0.90457,0.90457,0.27664,0.80988,0.26853,0.90045,2.98e-06,2.98e-06,2.98e-06
